Date,Fund,Benchmark
2001/9/27,100,100
2001/9/28,99.9787234,100.4407156
2001/10/1,99.9787234,100.2138287
2001/10/2,99.95744681,100.6692348
2001/10/3,99.95744681,100.6659702
2001/10/4,99.95744681,99.74046748
2001/10/5,99.95744681,99.40585009
2001/10/8,99.87234043,97.89925568
2001/10/9,99.85106383,99.51358057
2001/10/10,99.82978723,98.57338731
2001/10/11,99.78723404,99.46950901
2001/10/12,99.78723404,99.78453904
2001/10/15,99.78723404,101.0218073
2001/10/16,99.93617021,100.6871899
2001/10/17,100.1276596,101.4592583
2001/10/18,100.1702128,101.3270436
2001/10/19,100.1702128,100.3884826
2001/10/22,99.95744681,99.42054061
2001/10/23,100.0851064,100.1599634
2001/10/24,100.0851064,100.6137373
2001/10/25,100.0212766,100.4031732
2001/10/26,100.106383,99.96245756
2001/10/29,100.1489362,98.8835205
2001/10/30,100.106383,98.45749543
2001/10/31,100.106383,97.94822408
2001/11/1,99.93617021,97.28715069
2001/11/2,100.212766,97.38998433
2001/11/5,100.1276596,96.76971794
2001/11/6,100.0425532,96.75339514
2001/11/7,100.1489362,96.67341342
2001/11/8,100.5744681,97.70338208
2001/11/9,100.6808511,97.84702272
2001/11/12,100.8510638,98.53747715
2001/11/13,100.893617,100.0130582
2001/11/15,101.8297872,103.241708
2001/11/16,102.0212766,103.7003787
2001/11/19,101.9787234,102.530034
2001/11/20,101.2765957,102.0795247
2001/11/21,102,103.3086315
2001/11/23,102.8510638,104.3892008
2001/11/26,103.5531915,104.5442674
2001/11/27,102.5106383,104.1965918
2001/11/28,101.9574468,104.6389397
2001/11/29,101.5957447,104.7842126
2001/11/30,101.4468085,104.1427266
2001/12/3,101.4468085,105.0127318
2001/12/4,102.0851064,105.6917603
2001/12/5,104.1914894,106.5895142
2001/12/6,105.1276596,107.1395926
2001/12/7,105.5531915,107.9785845
2001/12/10,107.2765957,108.891029
2001/12/11,106.9361702,109.0509924
2001/12/12,106.7659574,109.2354401
2001/12/13,105.0638298,108.0585662
2001/12/14,106.3404255,108.4029773
2001/12/20,107,108.1303865
2001/12/21,106.5319149,108.5547793
2001/12/24,106.5744681,109.2942021
2001/12/26,107.7021277,110.8807783
2001/12/28,109.0212766,112.8950118
2001/12/31,109.3191489,113.6213763
2002/1/2,108.893617,111.4569731
2002/1/3,110.2340426,111.5630713
2002/1/4,113.106383,113.193719
2002/1/7,114.3404255,113.7878689
2002/1/8,113.8723404,112.9880517
2002/1/9,115.106383,114.336315
2002/1/10,116.0851064,115.0741055
2002/1/11,115.5106383,114.7558109
2002/1/14,114.5744681,114.0065944
2002/1/15,114.0638298,114.336315
2002/1/16,113.8297872,114.3607992
2002/1/17,113.787234,113.9119222
2002/1/18,114.3617021,114.0196527
2002/1/21,113.9361702,113.5968921
2002/1/22,112.7021277,112.6648603
2002/1/23,111.9574468,112.3922695
2002/1/24,111.6170213,111.9662445
2002/1/25,115.0212766,113.2116741
2002/1/28,117.7446809,115.1753069
2002/1/29,118.3404255,115.2911987
2002/1/30,118.7234043,115.8918778
2002/1/31,119.9148936,117.3315487
2002/2/4,121.8723404,118.1019849
2002/2/5,120.7446809,117.578023
2002/2/6,120.7446809,116.7439279
2002/2/7,119.8085106,115.5131888
2002/2/8,119.3404255,116.0420475
2002/2/14,120.0851064,116.6770044
2002/2/15,121.5744681,117.8473492
2002/2/18,121.3617021,117.7086054
2002/2/19,123.2978723,119.1123662
2002/2/20,122.787234,117.9795639
2002/2/21,122.4893617,117.0981327
2002/2/22,120.6808511,115.9914469
2002/2/25,120.7446809,114.4734265
2002/2/26,119.7446809,114.4375163
2002/2/27,120.2765957,114.8994516
2002/2/28,121.1702128,115.7139593
2002/3/1,122.0851064,117.1275137
2002/3/4,124.893617,118.3239749
2002/3/5,127.2765957,120.248433
2002/3/6,126.6382979,120.3071951
2002/3/7,127.0851064,121.0694698
2002/3/8,129.6808511,122.0341473
2002/3/11,131.893617,124.2181379
2002/3/12,132.2340426,123.011883
2002/3/13,132.5744681,123.1571559
2002/3/14,131.9787234,122.6886916
2002/3/18,133.6595745,123.6354139
2002/3/19,134.5531915,123.1179812
2002/3/20,135.4042553,123.2289762
2002/3/21,135.5957447,123.4362758
2002/3/22,135.7446809,122.8502873
2002/3/25,135.0638298,121.8105249
2002/3/26,135.4893617,122.633194
2002/3/27,137.0851064,123.4836119
2002/3/28,138.8085106,123.245299
2002/3/29,138.7234043,123.4166884
2002/4/1,138.6170213,123.6272525
2002/4/2,137.7021277,123.3056934
2002/4/3,137.106383,123.3138548
2002/4/4,137.5744681,122.8143771
2002/4/5,139.1276596,124.2850614
2002/4/8,141.3829787,126.0544529
2002/4/9,143.5319149,126.6453382
2002/4/10,144.212766,126.4331418
2002/4/11,144.3191489,126.4625229
2002/4/12,145.5744681,126.6992034
2002/4/15,147.5106383,128.0588927
2002/4/16,147.212766,127.6638809
2002/4/17,149.2340426,129.2994254
2002/4/18,148.2765957,128.497976
2002/4/19,150.4468085,130.3130713
2002/4/22,151.2553191,131.7739619
2002/4/23,150.2978723,131.8996474
2002/4/24,148.9787234,130.5024158
2002/4/26,148.7234043,130.8060198
2002/4/29,147.4893617,129.0725385
2002/4/30,148.3617021,129.6013972
2002/5/2,148.8510638,129.8233873
2002/5/3,149.1276596,129.71076
2002/5/6,149.2340426,129.7825803
2002/5/7,148.6595745,128.9386916
2002/5/8,149.1489362,129.6797467
2002/5/9,149.7021277,130.5269
2002/5/10,149.1489362,128.7118046
2002/5/13,142.3404255,128.3021024
2002/5/14,148.6170213,128.2172238
2002/5/15,149.0425532,128.4196265
2002/5/16,149.2978723,128.3592322
2002/5/17,149.4893617,128.5991773
2002/5/20,149.0638298,128.0621572
2002/5/21,148.0425532,127.5985897
2002/5/22,146.3617021,126.1654479
2002/5/23,144.8085106,125.2921781
2002/5/24,145.0851064,125.0097937
2002/5/28,144.212766,124.265474
2002/5/29,144.212766,124.5658135
2002/5/30,143.9361702,123.9439149
2002/5/31,143.0851064,121.075999
2002/6/3,143.106383,122.2577697
2002/6/4,142.7446809,122.5124053
2002/6/5,143.3617021,121.9198877
2002/6/6,144.2765957,122.8910943
2002/6/7,144.3829787,123.2714155
2002/6/10,144.4680851,123.2746801
2002/6/11,144.8297872,122.4846566
2002/6/12,145.0851064,122.5140376
2002/6/13,145.2765957,122.9743406
2002/6/14,145,122.1777879
2002/6/17,144.2978723,121.8921389
2002/6/18,144.6808511,121.9998694
2002/6/19,143.7446809,121.4253069
2002/6/20,144.1276596,121.8121572
2002/6/21,143.6382979,121.3355315
2002/6/24,139.3617021,118.5851397
2002/6/25,138.7234043,117.0687516
2002/6/26,135.1276596,115.0822669
2002/6/27,136.2765957,116.149778
2002/6/28,138.6170213,118.412118
2002/7/1,138.4042553,118.2831679
2002/7/2,140.6595745,121.3371638
2002/7/3,141.787234,120.6826195
2002/7/4,142.2553191,121.0417211
2002/7/5,143.3191489,121.542831
2002/7/8,143.2340426,120.0998955
2002/7/9,144.6808511,121.3730739
2002/7/10,145,121.3061504
2002/7/11,144.2765957,120.6010055
2002/7/12,145.0212766,120.7642335
2002/7/15,145.0212766,120.6467093
2002/7/16,144.5319149,119.8681118
2002/7/17,144.4255319,119.3474145
2002/7/18,144.4680851,119.7881301
2002/7/19,143.3829787,118.5818752
2002/7/22,141.9574468,116.9642857
2002/7/23,142.6595745,118.2293027
2002/7/24,141.7234043,116.7243406
2002/7/25,142.3191489,117.3364455
2002/7/26,141.7446809,117.1503656
2002/7/29,142,117.6841212
2002/7/30,142.4893617,117.8342909
2002/7/31,143.3404255,117.7836903
2002/8/1,143.7878492,118.1068817
2002/8/2,143.4817172,117.4474406
2002/8/5,143.0107449,117.7118699
2002/8/6,142.4691267,117.3903108
2002/8/7,142.6810643,117.7934839
2002/8/8,143.2226825,117.9322277
2002/8/9,143.2226825,118.0432228
2002/8/12,143.5523631,118.1819666
2002/8/13,144.9417314,119.0405458
2002/8/14,144.7297939,119.1548054
2002/8/15,146.2369053,119.8207757
2002/8/16,147.0140096,120.2337425
2002/8/19,147.1553013,120.2239488
